,tweet
0,정답은 스페인 라디오  😅 4
1,캐럿들 채채언니가 4400팔 됐다고 케이크사서 초 불어달라고 할 정도로 좋아해요 오늘 하루종일 텐션이 너무 좋네요 트친으로서 보기 너무 좋아요  오래전부터 4400팔 되길 기대하면서 잠도 못자던 우리 언니😅 캐럿들도 많은 축하 부탁드려요 아직 애기네요 채채언니 축하해 호두가 맞팔해줄게 0
2,그냥  할아버지 👴  😅💙💯👍👏🙆‍♂️🙆‍♀️🙆🙋‍♂️🙋‍♀️🙋🙇‍♂️🙇‍♀️🙇
3,넓은 어깨 감추기힘들었다는😅😅😅
4,너 다시 보러 갈거야 딱 기다려  근데 나 너무 떨려😵‍💫😵‍💫 아직 티켓팅 공지도 안 뜸😅😅 967
5,낮 동안 쌓인 열이 해소되지 않아 열대야 현상이 곳곳에서 나타날 수 있습니다 오타가 있어 정정합니다😅
6,1224  저도안될거 알지만 기다리는 중입니다😅
7,원빙고😅
8,1  갠찮습니다 저도 한진지하거덩요 😅
9,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ 내 증명사진 왜올려 ㅠㅠ 내려주셈 😅😂🤣🥲
10,1204   2  623  지니님의봄날을응원해💚💚 짤은모르겠어요 여기저기줍줍이라😅              방탄소년단진
11,헉 👀‼️재탕 들킴 ㅋㅋㅋㅋ  다 다음엔 새로 그려올게 업그레이드 해서 😅  다음이 없기를 바라지만
12,헉 혹시 일요일에 하트해주신 토마분 저 포즈해주시는데 순간 너무 좋아서 소리지르다가 하트인거 나중에 알아차려가지구 설레는 마음으로 사진 찍은 사람 입니다😅 진짜 그날 고생한거 싹다 잊혀질 정도로 너무 좋았습니다ㅠㅠ정말 감사합니다
13,이거 광고하던데  타니들이 모델이지 않나요 티켓 사야하나🤔😅  1483
14,첫째 방찬🐺 1997년 10월 3일 생 슬램덩크 점프에서 1996년 완결 셋째 창빈이🐖🐇 1999년 8월 11일생  방영 1999년 3월 22일에 종료😅 8
15,큐선 서로  아닌 척 장보러 같이 가면 우짬ㅋㅋ 아무렇지 않게 신라면으로 담고 청양고추 샀어요 물어봄 파도 샀어요 물어보면 그건 어제 사서 얼렸어요 함 주류코너 가서  이슬톡톡 다 담아줌 다른사람들다위스키에소맥말아먹는데😅
16,저도 되게 오래 알고 지낸 동생이 알고보니 숩별인 거 작년에 알았어요ㅎㅎ 지금은 서로 용병😅 진짜 숩뼐 어디에나 있다
17,상사가 몰래 유겸에게 말을 걸러 왔다 😅
18,잊쁜얼굴도 목소리도아니지만😅 잊쁜 말투로 도전해보겠으🤣🤭😉
19,올해 악세먹은거 몇개 모아놓고 보니까 좀 사기꾼이깅하내 😅😅😍😍🫶🏻 비틱맞음 53
20,5813 새벽에 봤을때 2%차이로 센가2위였는뎅ㅋㅋㅋ 노장이는😅다음기회에 쿄쿄쿄
21,뭘 해주고 싶어도 학원특강 땜시 시간을 내기가 어렵네요😅
22,0901 14 0613 7  ㅋㅋㅋ 광고 게임하면 광고가 더 많이나와요😅
23,16 하하 좋은 밤이야 😅
24,정국아 1등 축하해 이번엔 나도 진짜 열심히 했어 칭찬받고 싶다 우리 정국이 라이브 함 하까 😅
25,🥹🥹🥹 중콘이 생각보다 너무너무너무 이르게 시작하더라구요😅      40
26,베니블랑코  숨긴거 자기가 찾아갔네😅😂😂  밷시젼다운후스밍해 55 3
27,길 찾느라 많이 헤매긴했는데 알고보니 앞 공사차량 때문에 눈앞에서 못보고 계속 놓치고있었던😅😅 컨샙이 나뉘어서 하신게 너무 인상깊었습니다😀😀 무려 느와르라니 두근두근거렸어요🤭🤭 즐거웠습니다❤  이보가좋아요어쩔수없어요  004
28,옛날에 생각 없이 사 둔 굿즈가 캐릭터 인기가 올라가면서 가격이 올랐네구석에서 썩어가고 있는데 팔아버려야겠다😅
29,다 맞을 것을 자신하며 클릭했으나 하나 틀림 😅 근자감이었구나 33 981
30,13 피드백을 받고 싶은 그림은 딱히 없어용😅 14 취미로 하는거라 후회는 없습니다
31,❤️광동프릭스 키링 나눔❤️  장소  광명  스튜디오5층 시간  8월 6일광동 치어풀존에서 같이 나눔예정 수량  각 선수별로 5개 총 25개 ;선수는 선택이 아니라 랜덤이에요😅;  광동프릭스 팬들을 위해 프릭스 카트라이더 팀 유니폼키링 제작했어요 처음 나눔하는건데 많은 관심부탁드려요😊 1
32,건강은해지지만😁😁스트레스가😅😅
33,엇 대답을 안했네여😅 편하게 쉬는 시간 되길 바랄게여
34,미친 잠들어버렸다 천천히 갈게요😅 35
35,0  앗😅😅
36,0 탈뻐하고싶다면서용😅
37,1230 꿀복님 오랜만에 봬요 쉬다 와서 우물쭈물하며 소심하게 답멘 답니다😅 저도 그 꿈 이루고 싶어서 미국에서 로또를 삽니다🥲 지난 주 당첨자 혼자서 1조 5천억원이었거든요🥲 너무 부러워욬ㅋㅋㅋㅋㅋ
38,220805 온더모먼트 성카페🦁🍷 어제두 타래 날짜 잘못 썼네😅 루또검룰루 또 검은단장님 4일 연속 헣 흰단장님 계시긴 하시죠  생일왕축하드려요 티켓사는건내가할테니무대길을걸어가자 9
39,다른 팀 업무라고해도 큰 틀안에서 보면 결국 같은 일이라서요 좀 설명하기 복잡하네요😅 휴가는 한달 전에만 고지하면 되긴 하는데 한두달뒤에 무슨 플젝이 예정되어있는지 알면 선뜻 휴가내기 어려워지죠
40,무우우슨 티저가 올라왔을까요❓🥲😅
41,오늘 마감 딱 끝내고 싶은 회사 업무가 있는데 사무실에서 멀쩡한 정신으로 해도 반복 작업  계산이라 멘탈이랑 체력이 엄청 빠지는데 코로나 때문에 기운도 없는 내가 과연 오늘 저녁 6시까지 마감을 칠 수 있을까 😅 아몰랑 가보자고 재밌겠다ㅏㅏㅏ
42,92  원우 진호 보고 원호라거 봐서 이미친쉑 라고 생각햇네 😅✌️
43,112 디젤님 써늬님 소원 못들어주겠어요😅 더운데 써늬님 고생하면 안되니 월욜 전화 넣겠습니다
44,근데 아직 포카판을 뜰 생각이 없어서 언제 할진 미지수😅
45,❌😅💄🎸🏇 마지막으로 다시 올려요 현재까지 800명정도 보내드렸어요   아직 못받으신분 다시  팔로워 하세여  순서대로 정리해서 보내드려요  일탈섹트야동맘눌뎀맘눌피섹스야동서울부산인천대전교복목소리보지  8400 75
46,솜트친소 해보고는 싶은데 귀찮다😅
47,다들 불금되세요 🔥 전 내일 다른 의미로 불탈 예정 😅
48,달달구리 로맨스 소설 읽으면 좀 손발오글거리는 표현 쓸 수 있을까 했는데내 손발 사라질까봐 나 스스로 책을 포기하네😅🤣 아놔미치겠으그러니 번역이 그지경이라는🥲
49,ㅋㅋㅋㅋ 울 온리럽님 덕분에 웃는다 내가😅 날 웃게 해주는 온리럽님  사랑합니당😙💛💖       ♡
50,누뉴가 프룩이 팔뚝 조물딱 거리는거 요샌 못본듯요왜내가 아쉽니😅
51,5 같이 겅부하자  😅😅
52,점심 메뉴를 찾고 있는데 추천 메뉴가 있나요 😅😄
53,맛잇는서사 중장문 선호하는 이유도 서사 쌓는거좋아해서그럼😅
54,샤니 도촬 많지요 샤니가 허락을 안해줘서 못올릴뿐😅
55,몽룡이 안녕 👋 오빠 머리는 진짜 길다 😅🤣 74
56,2027 오역시저는 계속 봐도 죄다 압박으로만 봤었는데 ☺️😅👍
57,오늘 모글리샘 팔 엄청 아프셨겟어요😅
58,820504 하핫😅 가면 전시회 준비할거예요ㅎ
59,0915  고마워 보낸지 좀 됐는뎅 오늘 첨 봤어😅
60,901 예전 ㅈㄱ이 1위 못했을땐 어찌피 지고 있으니 다음달 멤 몰아주자고도 했담서요 허참 이게 말인지 방구인지😅😤
61,차가운술 작대기    오프    일탈 맘눌피 😅🙂😅😵‍💫😊😘  ❤️❤️케타민 안마 ❤️섹트 캔디팝니다 떨액팝니다 떨팝니다 🌡🍬아이스 대마초 대마 😘😆👻🦁 허브 파티 케이😘 아이스 🦁캔디 🐯케이 🐭떨🐱허브🫢브액 🍪몰리🐹 🦅떨액   103
62,아아 베이글 아니고 베이크입니다😅
63,ㅋㅋㅋㅋ 설레는구만 😅 97
64,00 김헌곤은 부러진 배트하고도 안 바꿉니다 😅
65,집입니다😄😄😄 코팅기는 전기를 많이 먹어서 직장에🤣 근데 사실 직장서 일하믄서 쓰려고 제가 코팅 좀 합니다 참 코팅기 친구 재단기도 얼마전에 구입😅 그 전에는 칼로 하나씩 자르다가 성격이 나빠졌음        7
66,912 아이구야😅 매일 밤늦게까지 아파트단지내 쩌렁쩌렁😱 집주인이 늦게 귀가하는건지당사자들만 모르고있는것같은😅
67,그쵸 만약 구매했으면 마셔보고 알려드리는건데 다른 맥주로 사는 바람에😅😅  나중에 편의점이나 다른 곳에서 팔면 먹어보고 후기 알려드릴게요
68,2 언니  가방 너무 큰거 아니오😅😅😅 사람들어가도 될정도인디 우리 꼭 만나야해🥰🥰
69,니한테만 50원 줌😅 다른애들한텐 다 백원줌ㅎ
70,펜타포트 입장줄 서다가 열사병 걸리겠다 😡 아직 입장도 못하다니 줄서기20분째 매표소도아직안보여 🤣😂😅
71,0 응응나 처음으로 쓴 듯 오늘😅
72,2268 30 2 ㅇㅓ엉 나 실물티켓 없는 경우 처음 봐 모바일티켓만 가능하더라도 그런공연들은 선물하기가 됐었는데 얜 또 안된다네😅😅 문제확인시에 실제예매자와 확인 진행한다는거 보니까 양도가 안되는건 아닌거같은데 그냥 캡쳐본만 확인해도 입장이 가능한건가
73,2278 티켓팅한거는 4월 초중반이었던거 같은데 예고가 언제 떴었는지 잘 기억이 안나요😅
74,25262728 ㅏ 실수로 많을거 같지만을 만들거 같지만으로 오타냈거든요😅
75,교환은 ❗무조건❗  동종 굿즈  시세가 비슷한 굿즈  서로 시세를 맞춘합의 본 굿즈  이렇게만 받습니다  터무니 없는 교환 문의 주지 마세요 저도 시세 압니다😅
76,이거 완전 준호영우 아니냐ㅋㅋㅋㅋ  🐶 변호사님 사무실에 고래 쿠션 놔뒀는데 보셨어요 🐳 네 제가 이것을 가지고 싶다고 한 말을 들으셨습니까 전 정말 작게 말했습니다 🐶 ㅎㅎ 그쵸 변호사님께서는 작게 말씀하셨죠 🐳 🐶 근데 제 귀에 속삭이셨잖아요😅 🐳 2
77,저놈의 더블튭 때문에 애옹이 잡겄네 피곤에 쩔어 듁겠뜸안그래도 잠못자 인간이 딱 자는 시간에 튭이라😅 일단 쫌만 더 버텨봅시다  제이홉   방화
78,그럼 그럼 난 너만 바라보니 너와 함께 즐거운 시간 보낼거야☺️🤭  내 안에 너만 있다 😂🤣😅      방탄소년단진  2
79,성격도 마냥 밝은편은 아님 인도자라는 직업 특성도 있고 라는 캐릭터 자체가 굉장히 과묵한 편입니다 설빛커에서의 성격으로 생각하고 오셨다가 당황하실수도 있어요😅  과묵한 것 처럼 애교도 없는편
80,성공못할수도😅
81,‍💫 긍정확언 고농축 잠옷세트 기리보이 로제  😅
82,2호선 호비 지각 할 시간이지만 우리호비 보여서 후딱 급 찍었더니짤리고 난리😅😅 누나가 퇴근길에 잘 찍어볼께😘😘      635
83,12  어떻게 얘기해야 하지 °□°; 저 음 아무것도 아니에요 그냥 무시해 줘요 ͟͟͞͞꒪ᗜ꒪ ‧̣̥̇ 그리곤 자신의 손을 잠시 확인하고 반짝거리자 화들짝 놀라곤 우아악 저 빨리 가봐야 할 것 같아요 😅
84,극장에서 서울콘 세렌무대보고 정말 머릿속에 박세렌이 왔다갔다했어여 😅바로  집에가자마자 유툽 지민직캠만 찾아봄요 얼빠에 춤선에 보컬에 이걸 3종셋트인데 춤선퍼포에 한표해여☺️
85,할머님이 나 시집 보내려고 지금 백방을 알아보고 있다고 하심 😅 하핫 과연
86,211124 여기는 왠지 무대 난입 준비 완료된 사람들만 우글거리는 느낌😅😅
87,21  랜덤아클스와 티슈가 왔어요 티슈하나는 써볼까 해서 두개를 샀는데 못쓸것같아요😅 아클스는 노랑이 나와 치미인가 기대했는데  뒷모습치미가🤣🤣 그래도 치미가 와줬으니😊 알제이가 중복으로 혹 치미앞모습과 교환가능하신분 연락필요합니다😅😅 듀님 항상 감사해요 67
88,솔직히 이벤트는 달릴 생각 없었는데 스랭 순위가 생각보다 높아서 쌍인백을 만들고 싶어졌다😅
89,1 ㅋㅋㅋㅋㅋ 제가 헛갈리게 썼나 봐요 😅🙇🏻‍♂️
90,돌님 너무 오랜만이에요 그동안 이것저것 하면서 잘 지냈습니다😊 암경 너무 오래만이라 전에 어떻게 그렸었는지 떠올리면서 그렸네요😅
91,마지막으로 이 계정은 알림을 제공합니다 🤧😅
